shortcode,caption,is_target
CYX-UEEvu3v,응모가 종료되었습니다 많은 응모에 감사드립니다 당첨발표 목 오후 시 이후 구매 가능 기간 금 일 매장 영업시간 내 매장방문 구매만 가능 구매 시 유의사항 실물신분증 실물 당첨문자 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
CZx_O_Lv8I2,국내발매 구미 중앙 서면 제일 나이키에서 덩크 응모가 시작되었습니다 서면 제일 한가지 제품만 가능 응모 링크는 프로필 게시물 알림 설정 하시고 한정판 스니커즈 발매정보 놓치지 마세요 한정판 발매 정보의 모든것 럭키드로우 페이지 럭키드로우 럭키드로우 당첨 덩크 덩크로우,True
CY5Qv5HuWC6,블레이져 로우 점보 사람들은 좋은 것은 바꾸지 말라고 말합니다 그러나 나이키는 완벽함을 위해 바꾸라고 말하죠 클래식한 스트리트웨어 슈퍼스타가 나이키 블레이저 로우 점보를 통해 재해석되었습니다 사랑받는 올드스쿨 룩을 활용한 오버사이즈 스우시 디자인과 점보 신발 끈이 특징입니다 년부터 스트리트의 아이콘으로 자리잡아온 상징적인 룩이 푹신한 폼 설포와 더 두꺼워진 스티칭으로 더욱 대담해집니다 원 제품은 매장 카카오톡 문의로 부탁드립니다 인천 롯데터미널 나이키 자세한 정보는 프로필 참고,False
CYsPen7srHy,이번 주 무신사 회원들의 취향을 저격한 코디는 겨울 스트릿 룩 대결 이번 주에는 스트릿 룩으로 무신사 회원들의 취향을 알아봤어요 멋있는 패턴부터 강렬한 색감까지 압도적인 선택을 받은 스트릿 룩 베스트 을 확인해보세요 태그에서 제품 정보를 확인할 수 있어요 무신사 무신사취향저격 취향저격 인기코디 최애코디 데일리룩 겨울코디 겨울데일리룩 스트릿룩 스트릿코디 캐주얼코디,False
CY0Te05vFCB,국내발매 은광 계열 나이키 매장에서 나이키 덩크 로우 할로윈범고래 제품 응모가 시작되었습니다 자세한 정보는 프로필 게시물 알림 설정 하시고 한정판 스니커즈 발매정보 놓치지 마세요 한정판 발매 정보의 모든것 럭키드로우 페이지 럭키드로우 럭키드로우 당첨 나이키 아디다스 뉴발란스 오프화이트 프라그먼트 트래비스스캇 에어조던 덩크 덩크로우 나매 나이키매니아 나매인 킥스타그램 오뭐신 다오뭐신 스트릿 스트릿패션 덩크 덩크로우,True
CZLkjJgrfaG,국내발매 나이키 서울에서 나이키 덩크 로우 빈티지 네이비 우먼스 덩크 로우 넥스트 네이처 유니버시티 레드 제품 응모가 시작되었습니다 응모 링크는 프로필 게시물 알림 설정 하시고 한정판 스니커즈 발매정보 놓치지 마세요 한정판 발매 정보의 모든것 럭키드로우 페이지 럭키드로우 럭키드로우 당첨 덩크 덩크로우,True
CY-RBdHlaUq,오프라인,False
CY8KT4lLTob,나이키 에어 줌 알파플라이 넥스트 한계를 뛰어넘는 스피드를 위하여 나이키 에어 줌 알파플라이 넥스트 플라이니트를 신고 개인 최고 기록을 경신해 보세요 결승선까지 힘을 실어주는 추진력 있는 느낌과 함께 나이키의 모든 레이싱화 중 최고의 에너지 반환력을 제공합니다 가볍고 통기성이 좋은 디자인으로 지속적인 편안함을 누릴 수 있도록 데이터에 기반하여 제작되었습니다 단위 제품 문의 나이키더현대서울 카카오톡 채널 재고는 실시간으로 변할 수 있습니다 매장안내 서울특별시 영등포구 여의대로 더현대서울 층 나이키 나이키더현대서울 더현대서울나이키 여의도나이키 나이키여의도 알파플라이 알파플라이넥스트퍼센트 나이키알파플라이넥스트 나이키알파플라이넥스트퍼센트 마라톤화 나이키마라톤,False
CYQxsWWv-Ns,현대백화점 울산점 에서 인스타 팔로워 대상으로 진행하는 이지부스트 벨루가 제품 럭키드로우 이벤트가 시작되었습니다 참여방법 현대백화점 울산점 인스타 계정 팔로우 현대백화점 울산점 인스타 이벤트 게시글에 응모완료 댓글 달면 완료 자세한 정보는 프로필 게시물 알림 설정 하시고 한정판 스니커즈 발매정보 놓치지 마세요 한정판 발매 정보의 모든것 럭키드로우 페이지 럭키드로우 럭키드로우 이지부스트 이지부스트 이지벨루가 광고,True
CYbF3BcP_aA,월 첫번째 스타일 챌린지 인 앱에서 진행되었던 시작템챌린지 스타일 인을 공개합니다 스타일링부터 배경까지 완벽한 그린 코디를 보여주신 프로필 님 앱 설치 후 더 많은 스타일 리뷰도 확인하고 다양한 혜택이 가득한 스타일 챌린지도 참여해보세요 스타일챌린지 크림 스타일챌린지 스타일베스트 데일리룩,False
CYkuuB_PXNd,오늘의 패션을 공유하는 플랫폼 오오티디에서 년 트렌드 컬러인 보라색 선물을 드립니다 오오티디 앱에서 지금 바로 드로우 참여하고 국내 옷잘러들의 실시간 데일리룩도 구경하세요 자세한 정보는 오오티디 차 드로우 경품 조던 레트로 하이 코트퍼플 명 슈프림 울 로고 패널캡 퍼플 명 아이앱 스튜디오 토르 후드 퍼플 명 응모 방법 앱 내 이벤트 게시물에 응모완료 댓글 작성 계정당 회 응모 인정 응모 방법 본인의 데일리룩 사진 업로드 사진 속 착용한 제품 태그 개 이상 등록 설명 입력란에 오오티디챌린지 해시태그 중복 응모 가능 응모 기간 화 월 당첨자 발표 수 주의사항 경품 사이즈는 랜덤입니다 부당한 방법으로 참여한 경우 모든 이벤트에서 불이익을 받을 수 있습니다 참여자의 컨텐츠는 오오티디 마케팅에 활용될 수 있습니다 제세공과금은 당첨자 부담이며 소득세 신고를 위해 개인정보를 요구할 수 있습니다 거부 시 당첨이 취소될 수 있습니다 드로우 오오티디 나이키 조던코트퍼플 아이앱스튜디오 슈프림 광고,True
CY5UH__v3Ck,제품은 카카오톡매장 문의 부탁드립니다 나이키 두타 자세한 매장 정보는 프로필 참고,False
CYQBlZrNaCM,부티크에는 늘 새로운 아이템이 가득해 아직 한참 남은 한파에 이만한 아우터가 없어요 캐나다구스의 파카와 몽클레어 다운 재킷 그리고 프라다 다운 재킷까지 매년 꺼내 입을 수 있는 좋은 아우터들이 부티크에 있어요 포인트로 아크네 스튜디오의 체크 머플러를 둘러주면 더 스타일이 살아나는 거 아시죠 부티크는 서울 경기 일부 지역이라면 새벽 배송으로 받아볼 수 있으니 오늘 구매해 내일 바로 입어볼까요 더 많은 제품은 에서 확인하세요 무신사 부티크 캐나다구스 몽클레어 프라다 아크네스튜디오,False
CYiV62TFNl_,오렌지와 퍼플 톤을 베이스로 한 오베이의 니트 컬렉션을 소개합니다 한겨울 따뜻한 이너로 간절기엔 단독으로 활용하기 좋은 아이템입니다 오베이 웍스아웃,False
CY00t-kMpDu,잠시 후 시 소니 무신사 라이브에서 만나요 음향 기기부터 카메라까지 소니와 함께하는 무신사 라이브가 오늘 오후 시에 여러분을 찾아갑니다 풀프레임 미러리스 카메라 컬래버 패키지 노이즈캔슬링 블루투스 이어폰 등 소니의 인기 아이템을 최대 할인된 가격에 만나보세요 혜택은 이게 다가 아니에요 일부 라이브 상품 구매 시 신세계 상품권 만원 만원권을 드립니다 여기에 하나 더 라이브 방송 중 채팅에 참여해 주시면 추첨을 통해 컬래버 아이템들을 랜덤 사은품으로 드려요 가전 리뷰 유튜브 진블로그 채널의 김청진과 함께해 더욱 특별한 무신사 라이브 두 시간 뒤 무신사 앱에서 만나요 무신사 무신사라이브 소니 소니헤드폰 소니이어폰 소니카메라 소니 소니 소니 헤드폰 이어폰 카메라 노이즈캔슬링 미러리스카메라 턴테이블 진블로그 김청진 유튜버김청진 배다영에디터,False
CY5UL1pvr8I,나이키 스포츠웨어 스포츠 에센셜 셰르파 하이파일 플리스로 원하는 핏을 매우 편안한 나이키 스포츠웨어 하이파일 플리스 베스트를 입고 따뜻하게 워밍업을 해보세요 놀랍도록 푹신하고 따뜻한 플리스로 제작되어 추운 날씨에 레이어링하기 좋은 부드러운 착용감을 선사합니다 재생 립스탑 소재가 내구성을 높이고 앞면 지퍼와 포켓에 부드러운 느낌을 더합니다 이 제품은 재생 폴리에스터 섬유로 제작되었습니다 제품은 카카오톡매장 문의 부탁드립니다 나이키 두타 자세한 매장 정보는 프로필 참고,False
CZqJZ6UIvSe,와릿이즌으로 새로운 출발을 시작한 마크 곤잘레스 캐주얼한 와릿이즌의 아우터를 착용한 브랜드 스태프들을 만나보세요 패딩 황다경 패딩 김수환 패딩 문혜인 패딩 이정민 패딩 이현지 패딩 심예군 재킷 고도현 재킷 노강욱 재킷 이민재 재킷 김윤수 태그에서 착용한 상품을 확인할 수 있어요 무신사 직원착샷 데일리룩 와릿이즌 마크곤잘레스 스트릿룩 스트릿코디 캐주얼룩 캐주얼코디 데일리코디 남자코디,False
CZtayKNuDbb,아카이브의 재탄생 컨버스 웨폰 무신사 단독 발매 년대 코트를 주름 잡던 컨버스의 전설적인 아카이브가 웨폰 로 새롭게 부활했어요 혁신적인 기술과 레트로한 디테일까지 돋보이는 하이 탑 스니커즈 안정적인 착용감 덕분에 데일리는 물론 액티비티 활동에도 문제 없다는 사실 지금 바로 무신사에서 다양한 컬러의 웨폰 를 확인해보세요 무신사 컨버스 웨폰 스니커즈 하이탑 한정발매 스페셜이슈,False
CZohUq_PFaY,나이키 신세계 센텀시티 오랜 세월에 걸쳐 많은 사랑을 받아온 트랙 스타일을 충실하게 재현한 나이키 와플 트레이너 는 헤리티지 나이키 러닝의 클래식 룩을 연출합니다 아이코닉한 와플 밑창과 커다란 레인보우 스우시 로고 스웨이드 액센트를 더해 레트로 감성을 신선하게 해석했습니다 폭신한 폼 중창에 매우 부드러운 폼 웨지를 더해 믿을 수 없을 정도로 편안하며 노출된 폼 설포는 빛나는 존재감을 자랑합니다 나이키 와플 트레이너 사이즈 단위 금액 원 제품 문의 제품 문의 신세계센텀몰 나이키 카카오톡 채널 재고는 실시간으로 변할 수 있습니다 매장안내 부산광역시 해운대구 센텀남대로 신세계 센텀시티 몰 층 와플트레이너 나이키애슬릿 남자스니커즈 남자운동화 스니커즈,False
CZOl5_os7hS,소더비에서 루이 비통 나이키 에어 포스 익스클루시브 컬러 경매가 시작되었습니다 달러로 시작한 경매가는 벌써 달러를 돌파하며 엄청난 인기를 보여주고 있는데요 일부 왕발 사이즈의 경우 달러를 넘어서기도 했습니다 슈프 팔로워 중에 구매 입찰을 시도하는 분 예상 낙찰가는 얼마가 될 것 같나요 한정판 신발의 전세계 발매정보를 에서 가장 빠르게 만나보세요 슈프라이즈 슈프라이즈 버질아블로 버질 오프화이트 루이비통 루이비통나이키 나이키루이비통 루이비통에어포스,False
CYnF0voNeJe,이건 무조건 세트로 입어야 해 코드그라피 스웨트 셋업 한정 발매 세트로 입을수록 더욱 빛을 발하는 코드그라피의 스웨트 셋업을 지금 바로 무신사에서 확인하세요 후디하프 집업 그리고 조거 팬츠를 다채로운 컬러 중에서 본인 취향대로 고르기만 하세요 무신사 코드그라피 스웨트셋업 스웨트셔츠 후디 조거팬츠 하프집업 신상품 한정발매,False
CZbthYrPA_d,이벤트 마치 참기름처럼 반짝 반짝 빛나는 신발 에어 조던 하이 백보드 코디를 소개합니다 에나멜 재질 중 엄청난 사랑을 받는 모델이죠 지금 슈프라이즈에서는 조던 하이 백보드 을 비롯한 인기 오렌지 컬러 한정판 신발들의 응모를 진행 중입니다 인스타그램 프로필을 눌러 자세한 내용을 확인하고 응모에 참여하세요 참여 방법 슈프라이즈 인스타그램 프로필 링크 클릭 설프라이즈 이벤트 페이지로 이동 이벤트 페이지 하단 양식 입력 후 제출 월 일 시 유튜브 라이브를 통해 당첨자 발표당첨자에게는 개별 발송 예정 에어 조던 하이 백보드 에어 조던 로우 스타피쉬 나이키 덩크 하이 오렌지 블레이즈 나이키 덩크 로우 챔피언쉽 골드 아디다스 이지 슬라이드 인플레임 오렌지 응모기간 월 일토 월 일수 당첨발표 월 일화 당첨수량 각 제품별 족 발매가격 정가제품별 상이합니다 응모 조건 슈프라이즈 인스타그램 팔로우 슈프라이즈 홈페이지 회원가입 구매방식 오프라인 방문양재 택배 수령 선택 한정판 신발의 전세계 발매정보를 에서 가장 빠르게 만나보세요 슈프라이즈 슈프라이즈 나이키 나이키덩크로우 나이키덩크 덩크로우 조던로우스타피쉬 조던스타피쉬 조던백보드 조던로우백보드 덩크하이시라큐스 덩크하이오렌지 덩크시라큐스 덩크하이오렌지블레이즈 덩크로우미다스골드 덩크미다스골드 이지슬라이드,False
CYs7oo1l7BE,윈터 스타일 첫 번째 파트는 헤비 아우터는 아니지만 다양한 레이어드를 통해 충분한 보온과 패션성을 나타낼 수 있는 룩을 제안합니다 웍스아웃,False
CY0gi5hv42e,응모가 마감되었습니다 감사합니다 응모기간 월 당첨발표 월 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 화 목 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 구매 시 유의사항 실물신분증 실물 당첨문자 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다 당첨자 수령 시 유통점 방역패스에 대한 사전 확인을 하시어 수령에 불이익이 없도록 당부 드립니다,True
CZQxgxNLqDK,오리지널 의 재탄생 알파인더스트리 익스클루시브 라인 한정 발매 항공 점퍼의 기준이 된 알파 인더스트리의 재킷 이번 시즌엔 국내에서만 만나볼 수 있는 특별한 항공 점퍼가 무신사에서 발매됩니다 루즈한 핏에 사이드 지퍼로 포인트를 더하고 앞뒤로 활용 가능한 리버서블 재킷이라 더욱 특별합니다 잠시 후 무신사에서 가지 컬러의 알파 항공 점퍼를 만나보세요 금 오후 시 발매 무신사 알파인더스트리 항공점퍼 루즈핏 리버서블 신상품 한정발매,False
CaB1OzuPZRL,나이키 스트레인지러브 덩크 로우 핑크레귤러 박스 원 원 명 응모 시간 월 일목 오후 오후 응모 방법 앱 홈 탭 발매정보에서 응모 당첨 발표 월 일월 오후 공지사항 및 당첨자 이메일 안내 본 이벤트는 앱에서만 참여 가능합니다 럭키드로우,True
CYX9p-Qvr5O,응모가 마감 되었습니다감사합니다 응모기간 목 당첨발표 목 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 금 일 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 구매 시 유의사항 실물신분증 실물 당첨문자 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
CY8kkgEvNRm,나이키 스포츠웨어 셰르파 계절이 바뀔 때도 든든하게 나이키 스포츠웨어 재킷을 입고 변화하는 계절을 만끽하세요 보온성에 각별한 주의를 기울여 편안함을 최우선으로 삼은 소재와 울 하이파일 플리스 발수 팔꿈치 보호대를 적용했습니다 제품은 프로필 카카오채널로 문의 부탁드립니다 수원 나이키 자세한 매장 정보는 프로필 참고,False
CZ0cmoKNRUQ,한 벌로 입어야 해 푸마 클래식 스웨트 셋업 한정 발매 푸마의 새로운 앰버서더 손나은이 추천하는 클래식 스웨트 셋업을 무신사에서 만나보세요클래식 크롭 재킷과 와이드 팬츠로 구성한 셋업 애슬레저 룩 완성 우리 함께 푸마의 클래식 셋업을 입고 운동하러 가볼까요 금 오전 시 발매 무신사 푸마 손나은 스웨트셋업 후디 와이드팬츠 신상품 한정발매,False
CYVibXYLhJj,나이키 에어맥스 에센셜 인체에서 얻은 영감 나이키 에어맥스 에센셜은 사람의 신체에서 디자인의 영감을 얻었습니다 중창은 척추를 상징하며 물결 모양의 패널은 근육을 신발 끈 고리는 갈비뼈를 메쉬 갑피는 피부를 형상화했습니다 제품은 카카오톡매장 문의 부탁드립니다 홍대 나이키 자세한 매장 정보는 프로필 참고,False
CZBLvZIrim3,나이키 스포츠웨어 스우시 추운 날씨를 위한 스테이트먼트 룩 나이키 스포츠웨어 재킷은 뒤집을 수 있는 디자인의 오버사이즈 로고로 개성을 표현하고 이동 중에도 룩을 바꿀 수 있습니다 프렌치 테리와 태피터 소재를 사용하여 쌀쌀한 날씨에 보온성을 제공합니다 구매 시 유의사항 멤버확인 택배거래 불가 서현,False
CYkm99JNhFs,국내발매 잠시 후 시 수유 나이키에서 덩크 로우 범고래 응모가 시작됩니다 링크는 시에 업데이트 예정입니다 지금 슈프라이즈 홈페이지에서 자세한 링크를 확인하고 응모하세요 제품명 품번 사이즈 응모 기간 화 서버 상황에 따라 일정이 조율될 경우 인스타에 변경 공지합니다 한정판 신발의 전세계 발매정보를 에서 가장 빠르게 만나보세요 슈프라이즈 슈프라이즈 나이키 나이키덩크로우 나이키덩크 덩크로우 범고래덩크 덩크범고래 덩크로우범고래,True
CZYQDl-P1A4,설 당일월 일 나이키압구정 영업시간 안내 설 당일월 일 주차안내 자율 주차 건물 뒷편 주차장 이용 카카오톡 매장으로 문의 부탁드립니다 나이키 압구정 자세한 매장 정보는 프로필 참고,False
CY0vm48l-3a,나이키 스포츠웨어 클럽 플리스 풀오버 후디 클래식한 편안함 옷장안의 필수품 나이키 스포츠웨어 클럽 플리스 풀오버 후디는 클래식한 스타일에 부드럽고 편안한 플리스를 적용해 업그레이드된 데일리 룩을 완성합니다 매장안내 서울특별시 영등포구 영중로 타임스퀘어 나이키 나이키타임스퀘어 타임스퀘어나이키 영등포나이키 나이키영등포 나이키후드티 기본후드티 나이키후디 커플후디 커플룩,False
CY2qE-TvXRT,국내발매 나이키 대전 제일에서 나이키 덩크 로우 할로윈 덩크 로우 블루 페이즐리 우먼즈 제품 응모가 시작되었습니다 응모 링크는 프로필 게시물 알림 설정 하시고 한정판 스니커즈 발매정보 놓치지 마세요 한정판 발매 정보의 모든것 럭키드로우 페이지 럭키드로우 럭키드로우 당첨 나이키 아디다스 뉴발란스 오프화이트 프라그먼트 트래비스스캇 에어조던 덩크 덩크로우 나매 나이키매니아 나매인 킥스타그램 오뭐신 다오뭐신 스트릿 스트릿패션 덩크 덩크로우,True
CaEOBFtvhvY,응모기간 목 당첨발표 목 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 금 일 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 구매 시 유의사항 실물신분증 실물 당첨문자 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
CYXv1IOpuFg,단위 단위 해당제품은 월 일 목 아트모스 서울에서 만나보실 수 있습니다 발매 매장 아트모스 서울 온라인 아트모스 서울 압구정 아트모스 서울 명동,False
CZ0xIWCv0oY,응모가종료 되었습니다 응모해주셔서 감사합니다 응모기간 금 당첨발표 금 오후 시 이후 응모방식 인스타그램 라플로 진행 링크는 인스타그램 프로필 참조 구매 가능 기간 토 일 매장 영업시간 내 매장방문 구매만 가능 응모 시 주의사항 인 회만 응모만 가능하며 선착순 응모가 아닙니다 중복 응모 시 당첨에서 제외 택 응모 가능 구매 시 유의사항 실물신분증 실물 당첨문자 나이키 홍대 카카오톡 채널 친구 추가 확인 멤버 확인 매장 방문 수령 및 카드 결제만 가능 택배 거래 불가 카드 결제 시 본인 명의의 실물카드로만 결제 가능 교환 및 환불 불가단 제품 불량 시에만 환불 가능 도도포인트 적립 및 사용 불가 구입 가능 기간 내 미 구매 시 자동으로 당첨 취소 결제로 인한 대기시간이 길어질 수 있으니 양해 부탁드립니다 당첨 구입시 안전을 위해 직원 통제에 협조 부탁드립니다,True
CaEi9jnpP-j,단위 해당 제품은 온라인 라플로 진행됩니다 응모기간 목 금 당첨발표 금 온라인 구매 토 온라인 라플 유의사항 당첨자는 개별 문자로 안내드리며 미당첨자는 연락을 따로 드리지 않습니다 최초 응모 내역매장명 사이즈 등의 변경 및 취소는 일절 불가합니다 다수의 계정을 활용한 중복 응모 등의 부정행위 또는 미구매수령시 본 응모 및 향후 모든 응모에서 제외됩니다 수신 거부시 시스템 오류에 따른 정상 발송이 원활하지 못 할 가능성이 있으므로 반드시 마이페이지를 통해 사전에 확인 및 수정바랍니다 온라인 당첨의 경우 구매 링크 공유 적발시 취소 및 제외 등의 불이익이 주어집니다 재판매 이익 등을 목적으로 중계판매처로의 직접 배송은 금하며 이에 따른 취소 및 제외 등의 불이익이 발생할 수 있습니다 해당 드로우는 회원가입 시 기입한 휴대폰 번호 주소로 안내되오니 개인 정보 확인을 다시 한번 부탁드립니다 응모와 구매는 온라인에서만 가능합니다 부정행위 적발 시 향후 본 회 응모 취소는 물론 앞으로의 응모에서도 불이익이 주어집니다,True
